"MMSI;""IMO"";""Status"";""RecvTime"";""MessageID"";""NavigationalStatus"";""ROT"";""SOG"";""PositionAccuracy"";""longitude"";""latitude"";""Altitude"";""COG"";""TrueHeading"";""RAIM"";""OffPosition"""
"203375400;NULL;""OK"";""2017-04-22 02:37:45"";""18"";""-1"";""-999.9"";""4.3"";""1"";""-77.941767"";""18.498588"";""-1"";""166.6"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 02:55:45"";""18"";""-1"";""-999.9"";""4.4"";""1"";""-77.933828"";""18.478848"";""-1"";""143.1"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 03:10:44"";""18"";""-1"";""-999.9"";""0.0"";""1"";""-77.9262"";""18.469825"";""-1"";""219.4"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 03:32:41"";""18"";""-1"";""-999.9"";""0.4"";""1"";""-77.941385"";""18.461367"";""-1"";""332.9"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 03:53:06"";""18"";""-1"";""-999.9"";""1.3"";""1"";""-77.941433"";""18.461902"";""-1"";""211"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 21:29:37"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.94128"";""18.461933"";""-1"";""231.4"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 22:02:36"";""18"";""-1"";""-999.9"";""0.2"";""1"";""-77.941337"";""18.46194"";""-1"";""318"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 22:23:38"";""18"";""-1"";""-999.9"";""0.2"";""1"";""-77.941282"";""18.461927"";""-1"";""255.1"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 22:47:37"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941247"";""18.461932"";""-1"";""288.5"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 23:08:37"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.94139"";""18.461977"";""-1"";""315.7"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-22 23:50:37"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941452"";""18.462002"";""-1"";""304.6"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-23 00:08:38"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-77.941463"";""18.46196"";""-1"";""327.1"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-23 00:25:16"";""18"";""-1"";""-999.9"";""0.0"";""1"";""-77.941433"";""18.461925"";""-1"";""50.8"";""511"";""1"";""0"""
